,Unnamed: 0,FileName,Abstract,Summary,Precision,Recall,F1_Score,Precision_rouge2,Recall_rouge2,F1_Score_rouge2,Precision_rougel,Recall_rougel,F1_Score_rougel
0,0,S0168874X14001413," The topic of the paper is related to the macroscopic modelling of riveted assemblies for full-scale aircraft structures subjected to crash/impact loadings. Super-elements have been developed to model the rivet and its rupture. However, stress concentrations in riveted assemblies can also initiate cracks from hole boundaries that propagate to the next ones and can lead to the catastrophic loss of the airplane by dismantlement of structural parts. An hybrid-Trefftz perforated super-element has been previously developed by the authors. However, the hole boundary of this super-element is a traction-free analytical boundary, preventing any connection with rivet elements. As a necessary first step to make the connection with the rivet possible, it is proposed to formulate additional nodes on the hole boundary of the perforated super-element. However, increasing the number of nodes implies increasing the super-element interpolation functions series order. Their ability to accurately describe the strain and stress fields is evaluated. It is found that when the series order is increased, the mechanical fields are still well described, but are a little less accurate than lower order interpolation functions. This evolution is discussed and seems to be linked to the ill-conditioning of the system. The accuracy is however still sufficient for the formulation of a 16-node super-element featuring eight nodes on the hole boundary. ","a finite element. a super-element. a crack-tip. Piltner et al. [6] and an internal circular hole. a super-element with an internal circular hole. 10  10 10      [1,2]  et al. [7] proposed a super-element.. and with an internal. [.",0.1291666666666666,0.808695652173913,0.2227554672666668,0.0,0.0,0.0,0.3,0.047619047619047616,0.08219177845749677
1,1,S0168874X14001425," Multi-scale finite element (FE) modeling and analysis of engineering structures have become very necessary in order to provide both global and local structural information for a comprehensive assessment of structural safety. The multi-scale FE modeling needs FE coupling methods to combine mixed-dimensional finite elements, such as beam-to-shell and plate-to-solid, in a single structural model. This paper presents a new mixed-dimensional FE coupling method that can achieve both displacement compatibility and stress equilibrium at the interface between the different element types. The principle of virtual work is first used to derive both linear force and displacement constraint equations for the interface. A numerical method compatible with commercial FE codes is developed to figure out the linear constraint equations which satisfy both displacement compatibility and stress equilibrium conditions at the interface. The proposed coupling method is then extended to nonlinear mixed-dimensional FE coupling problems. Finally, the proposed coupling method is applied to a number of test cases including linear beam-to-plate, beam-to-shell and beam-to-solid interface problems, a linear frame structure, and a beam-to-shell buckling problem. The obtained results are also compared with those from the existing methods. It reveals that the proposed coupling method can handle both linear and nonlinear mixed-dimensional FE coupling problems more accurately than the existing methods and that it can be applied to a structure satisfactorily for multi-scale simulation. ",the other components in the frame are simulated with shell elements of small scale.... transition element method; and (e) multipoint constraint (MPC) method. transition elements employing either reduced or full transition elements. transition elements employing either reduced or full transition elements. In the latter it is the introduction of extra unknowns and in the latter it is the choice of penalty parameter. transition elements employing either reduced or full transition elements employing either reduced or full transition elements employ,0.2393650793650793,0.6854545454545454,0.3548244910449868,0.0,0.0,0.0,0.3157894736842105,0.09836065573770492,0.14999999637812508
2,2,S0168874X14001437," Automotive door sealing system isolates passenger compartment from water, dust and wind noise. It has the most direct influences on door-closing performance, which is determined by cross-section design in terms of its appropriate Compression Load Deflection (CLD) property. Traditional sealing structure has uniform geometrical cross-section. It has the shortcomings of bad fitting in corner parts with large curvatures, causing inaccurate door-closing effort design. Regarding the door panels complex 3D profile, numerical analysis and optimal design for new sealing with variable cross-section are developed in this paper. Firstly, the whole sealing is partitioned into several parts. For four nearly straight segments, conventional 2D numerical analysis can still be used to obtain desired geometrical configuration. For other four curved corner parts with large curvatures, 3D numerical analysis of door closing is applied. Secondly, 2D geometrical cross-section optimization is proposed. Instead of three variables in previous research, five variables are selected for featuring cross-section geometry and used for next CAD reconstruction with more precision. After comparison between Back Propagation (BP) neural network and the Kriging surrogate model, BP neural network which performs better and efficient in this automotive design optimization field is applied for extracting nonlinear mapping between five cross-section parameters and compression load, which were parallely optimized by Genetic Algorithm (GA) and its efficiency and accuracy are compared with another evolutionary algorithm of Particle Swarm Optimization (PSO). Thirdly, 3D numerical modeling of four curved corner parts closing process is realized, of which twisting and bending effects during seal assembly are taken into account, thus minimizing theoretical error and producing more realistic solution. Consequently, the desired geometrical configurations for both straight parts and corner parts satisfying designated CLD property can be obtained and the whole sealing can be achieved with variable cross-section, resulting in an ideal door closing effort. Finally, a Matlab-based platform has been developed to assist the design and optimization process. Experiment and case study indicates that it provides an effective method for new door sealing design with variable cross-section. ","the door seals are installed in narrow gaps between door and body frame along the perimeters of opening panels. This design is based on a combination of experimental and numerical methods. In this paper, we discuss the design of door-closing effort design. Moreover, the design of door-closing effort design is based on computational efforts. For instance, a 3D cross-section of the door seal is modeled and analyzed, making extraction of the reaction force and contact area conveniently [11].",0.1680743243243243,0.8073022312373225,0.2782253685391475,0.05970149253731343,0.013289036544850499,0.02173912745643354,0.3269230769230769,0.08717948717948718,0.13765181853824854
3,3,S0168874X14001516," Topology optimization problem requires repeated evaluations of the objective function and design sensitivity in the design domain with various density distributions. A repeated computations in the optimization process, requires a large amount of computing time and resources. These issues have inspired the development of optimization techniques combined with a system reduction. In order to reduce the system, this study employs a system dynamic condensation method based on selected primary degrees of freedom. Based on a system reduction, this study performs a topology optimization to maximize the eigenvalue and linear summation of each eigenvalue. In the optimization procedure, mode tracking method, called MAC, is used to pursue target modes, and the design sensitivity is calculated by a method of the rigid body mode separation assuring the reliability of sensitivity regardless of the design variable perturbation size. Each result of the numerical examples based on the reduction system is compared to that of the full system. Through a few numerical examples, it is demonstrated that the proposed method can provide efficient and reliable results in topology optimization. ","topology optimization has been applied to dynamic problems. size optimization has a disadvantage in that the mesh should be regenerated when elements are distorted during the optimization process. Besides these two kinds of optimization fields, topology optimization has been applied to dynamic problems. In this paper, we present the cross-orthogonality check method. The cross-orthogonality check method is a new method of topology optimization. The cross-orthogonality check method is a new method of",0.2813816343723673,0.6640159045725647,0.395267230379823,0.09615384615384616,0.031055900621118012,0.04694835311688627,0.3170731707317073,0.125,0.17931034077146263
4,4,S0168874X14001528," Accuracy and efficiency are significant factors in wave propagation and load identification of mechanical structure. By introducing modified Hermitian cubic spline wavelets on interval (HCSWI), a multi-scale wavelet-based numerical method is proposed. The present method can avoid the boundary problem of the original Hermitian interpolation wavelet. A modified Hermitian interpolation wavelet base can get transformation matrix, so the modified Hermitian wavelet finite element is proposed in this paper. Positive question-wave propagation and inverse question-load identification is verified by this means. The modified Hermitian wavelet finite element involves wave propagation and load identification in rod and Timoshenko beam which are obtained and then compared with results calculated by traditional finite element method (TFEM) and B-spline wavelet on interval (BSWI) finite element. The results indicate that the present method for wave propagation and load identification has higher precision and costs less time on mechanical structure. ","finite element based techniques have been of great interest to many researchers in mechanical engineering over the years [1,2]. In this paper, we present a novel and generic formulation of the wavelet-based spectral finite element approach for estimating mechanical structure loads. The method accounts for bending stiffness effects and for the rotational inertia and shear deformation of the beam member. The method accounts for bending stiffness effects and for the rotational inertia and shear deformation of",0.3028571428571429,0.6223091976516634,0.4074320898498481,0.05172413793103448,0.025,0.033707860775155224,0.3333333333333333,0.1927710843373494,0.24427480451721933
5,5,S0168874X14001541," Bridging domain method (BDM) is a multiscale method which couples molecular dynamics (MD) with finite element simulations. In this paper, using numerical study we show that time integration step size and the discretization of Lagrange multipliers can highly impact the capability of BDM in removing spurious reflections. We present a technique to enhance the performance of bridging domain method and to alleviate the effects of the two aforementioned factors on the BDM. In our technique, the total displacement field of the atoms located in the overlapping zone is decomposed into a coarse and a fine field. The equations of motion of fine scale oscillations are first obtained and then modified to include a damping term. The damping condition effectively filters out and removes the fine scale oscillations that cannot pass into the continuum domain; hence eliminates the spurious wave reflections. Using numerical examples, we show that the proposed enhancement significantly improves the performance of bridging domain method. This is specially significant when discontinuities such as cracks are present in the domain or when the integration time step is small. ","atomistic-continuum interface should be minimized. atomistic-continuum interface should be minimized. atomistic-continuum interface should be minimized. atomistic-continuum interface should be eliminated. [11,12], [18,19], and [18,20] and  [18] and [18] ",0.152991452991453,0.7047244094488189,0.251405465071096,0.0,0.0,0.0,0.09090909090909091,0.008928571428571428,0.01626016097296599
6,6,S0168874X14001553," A modified interval parameter perturbation finite element method (MIPPM) and a reliability-based optimization model are proposed for the coupled structural-acoustic field prediction and structural design with uncertainties in both the physical parameters and boundary conditions. Interval variables are used to quantitatively describe all the uncertain parameters with limited information. The interval matrix and vector are expanded by the modified Taylor series. Compared with the traditional perturbation method, the proposed MIPPM can yield more accurate ranges of the uncertain structural-acoustic field, in which the higher order terms of Neumann series are employed to approximate the interval matrix inverse. The reliability idea is introduced to establish an interval optimization model relying on the satisfaction degree of interval. The uncertain constraints can be transformed into deterministic ones if given the confidence level. The proposed MIPPM is used to predict the intervals of the constraints, and whereby eliminate the optimization nesting. Numerical results about a 3D car are given to demonstrate the feasibility and efficiency of the proposed model and algorithm. ","acoustic response is very sensitive to small changes in the model... acoustic performance has become very important. acoustic analysis has been conducted under the assumption that the physical properties and boundary conditions are deterministic., and  and, and other factors, the results are difficult to predict. For example, in cars, boats and airplanes, the noise is high, and other factors, the acoustic performance is not ",0.2426532325776658,0.6752336448598131,0.3570114614140112,0.06666666666666667,0.025157232704402517,0.036529676387064926,0.2558139534883721,0.10576923076923077,0.14965985980656218
7,7,S0168874X14001565," An Element-free Galerkin scaled boundary method (EFG-SBM) based partitioning algorithm is proposed for the 2D steady-state heat transfer analysis of cyclically symmetrical structures. The eigenvalue matrices of EFG-SBM for the rotationally periodic system are proved to be block-circulant under a symmetry-adapted reference coordinate system. Furthermore, both the eigenvalue and system equations can be partitioned into a number of smaller independent problems which are solved by a partitioning algorithm. Numerical examples are given to verify the proposed algorithm in term of computing accuracy and efficiency. ","cyclically symmetrical structures are introduced in Section 2. Then, Section 4 presents a partitioning algorithm for EFG-SBM of the special structure. The proof of the block-circulant property of the global EFG-SBM coefficient matrices is given in Section 5. Finally, Section 7 presents a partitioning algorithm for EFG-SBM of the special structure. The governing equation of heat conduction problems in the steady state can be written in a tensor form [21] (1) ",0.3727714748784441,0.4978354978354978,0.4263216183163164,0.08771929824561403,0.06097560975609756,0.0719424412049069,0.32608695652173914,0.234375,0.2727272678611571
8,8,S0168874X14001577," In this paper, the concept of configurational forces is introduced in the context of finite element mesh refinement for elasticideally plastic problems. This paper also includes the numerical computation of configurational forces in the elastic and plastic domains. Methods are demonstrated on three plane problems where the analytical solution is available. The first example is a thick-walled tube loaded by internal pressure. This simple, one dimensional problem allows computation of configurational volume forces analytically to validate the finite element (FE) results. The second example is Galins problem that involves an infinite plate with a circular hole loaded by biaxial tension at the infinity. This is a two dimensional problem for which the analytical solution is known with some restrictions for elasticideally plastic case when Tresca yield criterion is considered. The last example introduces another plane problem that follows Naghdis solution on infinite wedges. For this, a new analytical solution is presented for plane stress state using von Mises yield criterion with a uniform shear loading along the boundary. R-, h-, and combined adaptive procedures are demonstrated on the above examples. Since exact stress fields are known, the norm of the difference between numerical and analytical solutions is used as the measure of error. ","configurational force vectors are the gradient of the total potential of the mesh structure. In addition, configurational force vectors are the gradient of the total potential of the mesh structure. In addition, configurational force vectors are the gradient of the total potential of the mesh structure. In addition, configurational force vectors are the gradient of the total potential of the mesh structure. In addition, configurational force vectors are the gradient of the total potential of the mesh structure. In addition, configurational force vectors are the",0.2877115526122148,0.689594356261023,0.4060238037300728,0.06666666666666667,0.0055248618784530384,0.010204080219179705,0.46153846153846156,0.048,0.0869565200325562
9,9,S0168874X14001589," This paper deals with modeling and model reduction methods intended to sandwich structures with viscoelastic materials. The modeling step is carried out by combining the First order shear deformation theory (FSDT) with the GollaHughesMc Tavish (GHM) model. The GHM model introduces auxiliary coordinates to take into account the frequency dependence of viscoelastic materials which, combined with the finite element method (FEM), leads to large order models. This paper focuses on the use of model reduction methods. The reduced models compared to the full model are illustrated by three numerical examples in order to outline the performance, the practical interest of these methods and their validity domains. ","a kinematic description of each layer as a piecewise linear function. a low computational cost. thin structures. FSDT. FSDT is not suitable for thick structures...... [4,6]. [4,7] plates.  a a computational time which is undesirable for such applications.  [45].......",0.217391304347826,0.5783582089552238,0.3160050377604712,0.0,0.0,0.0,0.1,0.041666666666666664,0.05882352525951587
